"Title";"Directors";"País";"Año";"Género";"Actores";"UserRating";"FArating";"NúmeroVotos"
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Jack Weston";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Jane Brucker";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Kelly Bishop";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Lonny Price";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Max Cantor";"7";"6.1";"72,838 "
"Dirty Dancing ";"Emile Ardolino";"United States";"1987";"Romance";"Charles 'Honi' Coles";"7";"6.1";"72,838 "
"101 Dalmatians ";"Wolfgang Reitherman";"United States";"1961";"Animation";"No Actores";"9";"6.4";"77,788 "
"The Jungle Book ";"Wolfgang Reitherman";"United States";"1967";"Animation";"No Actores";"9";"7.2";"41,641 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Michael J. Fox";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Christopher Lloyd";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Lea Thompson";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Thomas F. Wilson";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Elisabeth Shue";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Charles Fleischer";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Joe Flaherty";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Harry Waters Jr.";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Billy Zane";"7";"7.2";"62,587 "
"Back to the Future. Part II ";"Robert Zemeckis";"United States";"1989";"Sci-Fi";"Jeffrey Weissman";"7";"7.2";"62,587 "
"Who Framed Roger Rabbit ";"Robert Zemeckis";"United States";"1988";"Animation";"No Actores";"7";"6.5";"64,437 "
"Dumbo ";"Ben Sharpsteen";"United States";"1941";"Animation";"No Actores";"8";"6.8";"80,073 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Mark Hamill";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Harrison Ford";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Carrie Fisher";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"David Prowse";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Ian McDiarmid";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Billy Dee Williams";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Frank Oz";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Alec Guinness";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Anthony Daniels";"8";"7.9";"119,578 "
"Star Wars. Episode VI: Return of the Jedi ";"Richard Marquand";"United States";"1983";"Sci-Fi";"Kenny Baker";"8";"7.9";"119,578 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Mark Hamill";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Harrison Ford";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Carrie Fisher";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Frank Oz";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Billy Dee Williams";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"David Prowse";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Alec Guinness";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Anthony Daniels";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Kenny Baker";"8";"8.1";"133,110 "
"Star Wars. Episode V: The Empire Strikes Back ";"Irvin Kershner";"United States";"1980";"Sci-Fi";"Peter Mayhew";"8";"8.1";"133,110 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Mark Hamill";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Harrison Ford";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Carrie Fisher";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Alec Guinness";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Peter Cushing";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"David Prowse";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Peter Mayhew";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Anthony Daniels";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Kenny Baker";"7";"7.9";"133,464 "
"Star Wars IV: A New Hope ";"George Lucas";"United States";"1977";"Sci-Fi";"Phil Brown";"7";"7.9";"133,464 "
